HugoSymbol,Dist,Low,High
HSD17B11,skew,4.642427222797987,4.642427222797987
SZT2,normal,1.9971365863136585,4.760672498271056
SULT1C2,skew,0.7511685514234641,0.7511685514234641
ZXDA,bimodal,0.2328972981874726,0.2328972981874726
RPS6KL1,bimodal,1.0947233608537446,1.0947233608537446
CACNA1E,skew,0.13965849664145635,0.13965849664145635
QRICH1,normal,4.098682257474925,6.43539652477447
CSF2RA,skew,1.0334192276461172,1.0334192276461172
DDX42,normal,5.053003834167212,7.429517397988473
RPL23A,normal,8.95298246302267,11.604988058039902
SLC29A3,normal,0.2244579249401224,4.4088818063505215
STYX,normal,1.870257257504241,4.313420573425564
UBL5,normal,8.128188103015782,10.420796354335453
HELZ,normal,1.6642522989225081,4.405982929391714
TMEM116,normal,1.7352350047771705,4.667980279162672
KRTAP4-5,skew,0.004338534066626925,0.004338534066626925
UCKL1,normal,3.3628785042871043,6.298860760168253
OR5B21,skew,0.02375080042749857,0.02375080042749857
CARD11,skew,1.59690835665165,1.59690835665165
ZNF485,normal,0.4949065912955115,3.4614457580383093
PEG3,skew,0.48526227715276443,0.48526227715276443
SDAD1,normal,3.4298380841834666,5.688956428503034
ZKSCAN8,normal,1.6073812200055684,4.761072519072654
PHETA1,normal,0.5449960913055039,4.104249993667206
TMEM239,skew,0.032878189715644636,0.032878189715644636
HYLS1,normal,1.0746297322516885,5.386301580099704
MYL4,skew,0.4524239569474775,0.4524239569474775
ZNF442,bimodal,0.4353762482718165,0.4353762482718165
ZNF813,bimodal,0.45835057014692104,0.45835057014692104
HOXC4,bimodal,1.1832930329442664,1.1832930329442664
DCAF12L2,skew,0.20030506577126858,0.20030506577126858
PIM3,normal,2.9364048083264684,6.7092411994675345
GET3,normal,4.9490367554552614,7.4696789180643615
ASPH,skew,6.572719332797256,6.572719332797256
SPRED2,normal,2.309675180992288,5.793077260314698
WWP2,normal,2.6286292845732504,5.43117009826746
GFPT1,normal,2.9817830509911145,6.744394499924744
UVRAG,normal,1.8778749718970797,4.54890443468625
KRTAP13-1,skew,0.002176382305503152,0.002176382305503152
ZNF26,normal,1.2843637121273666,4.0949295675159
TMEM207,skew,0.022338638713851305,0.022338638713851305
ITSN2,normal,2.454761591080226,5.1746547797779066
NTRK1,skew,0.44176673998821714,0.44176673998821714
OGA,normal,4.376928101692926,7.005518424943569
MT1F,bimodal,1.4278403377446625,1.4278403377446625
TCAF1,normal,1.9746375972367889,6.842079720598951
ZNF69,bimodal,0.8484728008695893,0.8484728008695893
TXNRD1,normal,4.577504755278893,9.766568693733902
NRARP,bimodal,1.4838593982524553,1.4838593982524553
ZNF583,bimodal,0.624981542354424,0.624981542354424
KRTAP4-1,skew,0.15870228499758907,0.15870228499758907
CCT8L2,skew,0.0020652007733179124,0.0020652007733179124
ZNF568,bimodal,0.8710196312879914,0.8710196312879914
ZXDB,normal,0.8667245883410966,3.3625376049466693
ZNF480,normal,1.2379145413827484,5.009215033125791
ZNF587,normal,1.7327137884900314,5.236089146518852
TPM2,bimodal,5.692717470420825,5.692717470420825
RTP2,skew,0.006597222574452294,0.006597222574452294
SH3BGRL2,bimodal,0.879983188596228,0.879983188596228
ZNF808,bimodal,0.4808269729472717,0.4808269729472717
ANKRD35,skew,0.29459368825367044,0.29459368825367044
B3GNT6,skew,0.10586349700661352,0.10586349700661352
YTHDF2,normal,4.500844775398619,6.6290556458492915
TMA16,normal,3.79515475787777,6.34227473725009
HLA-DRB5,skew,1.2739803991665508,1.2739803991665508
ATL1,skew,1.754603649510537,1.754603649510537
CNGA1,skew,0.5061388312497929,0.5061388312497929
MAFK,normal,1.680951083133543,6.480280289459394
ARMH1,skew,1.1852177675746338,1.1852177675746338
ZNF43,bimodal,1.0210703770756469,1.0210703770756469
GPN1,normal,4.238664422378025,6.436732974172403
PLN,skew,0.13097434733746868,0.13097434733746868
C2CD4A,skew,0.31645184880737254,0.31645184880737254
ZNF28,bimodal,0.8317159465989253,0.8317159465989253
ITGBL1,skew,1.5863470689903443,1.5863470689903443
ZNF511,normal,3.3419966655327027,6.051659451158278
C20orf203,skew,0.0689605710904122,0.0689605710904122
ZNF627,normal,1.485041564258796,4.332258263613308
KCNRG,skew,0.5882279643672249,0.5882279643672249
WDHD1,normal,2.0359654626801595,5.360839725509271
ZNF789,normal,1.9329580347773394,5.278107511931348
CTNND1,bimodal,3.023013716149412,3.023013716149412
DDX39B,normal,6.896775767448837,8.990687872362331
SLC34A3,skew,0.24713420462653918,0.24713420462653918
RD3,skew,0.11511634577817065,0.11511634577817065
SPANXC,skew,0.4425614798849628,0.4425614798849628
SH2D1B,skew,0.17936878271002696,0.17936878271002696
ARC,skew,0.6752967430144585,0.6752967430144585
NUDT16,bimodal,0.7280150225123552,0.7280150225123552
TLK1,normal,2.867092693325758,5.271502991189322
LRBA,normal,2.592850253791578,6.112105634861466
ZNF536,skew,0.29656869080593123,0.29656869080593123
MMP17,skew,1.822398477260879,1.822398477260879
OR2M2,skew,0.0041772731651444905,0.0041772731651444905
BAZ1A,normal,3.07318783491273,6.156928230322887
AKR1C4,skew,0.18507229926004756,0.18507229926004756
COPS8,normal,4.201195180094375,7.280308115447665
CCDC69,skew,1.8671844756393932,1.8671844756393932
MDM4,normal,1.3026583697367213,5.0300324899590345
RYR2,skew,0.6319219000740737,0.6319219000740737
ZNF534,skew,0.08275473756258908,0.08275473756258908
KLHL9,bimodal,0.8435001638662967,0.8435001638662967
FAM3D,skew,0.3364007010120884,0.3364007010120884
NCOA6,normal,3.025618704453084,5.375803544219199
STK39,normal,1.8344446596416089,6.370704548312199
TAT,skew,0.07085020611817881,0.07085020611817881
C6orf89,normal,2.9883204245563335,5.895158778005269
CALM1,normal,6.041638145460279,9.609035184593024
LPA,skew,0.03255372354542377,0.03255372354542377
TAFA2,skew,0.8912231728829461,0.8912231728829461
OR10G6,skew,0.00037962730826908013,0.00037962730826908013
TTC37,normal,3.2111391031309977,6.114596810128884
TUSC1,bimodal,1.0109289720966124,1.0109289720966124
MAGEA1,skew,0.9130486030958438,0.9130486030958438
PAPSS2,bimodal,3.21699312060153,3.21699312060153
SLC9A6,normal,1.8941724942102869,4.553898362691861
FAN1,normal,2.1772383058215636,5.089134518115531
ABCA4,skew,0.4954689467088797,0.4954689467088797
EIF1AY,skew,1.629373398132227,1.629373398132227
MT-ND6,normal,9.103303421490903,13.526186746045617
IPO9,normal,3.4520602058267764,6.073419795926992
GPX6,skew,0.006069441193885083,0.006069441193885083
CEP290,normal,2.0662845281521625,4.825805953286672
MT-CO2,normal,12.49473402323906,15.784962704438462
GLMP,bimodal,1.8373393129280904,1.8373393129280904
TOGARAM1,normal,1.1995985024798554,3.8813736960448026
DLL1,skew,1.0630026983256922,1.0630026983256922
ANKRD13B,normal,0.657923056677109,5.392998850194452
ECI2,skew,5.45263386201223,5.45263386201223
UNC13B,bimodal,0.629754899832064,0.629754899832064
TEX45,skew,0.5818370976150254,0.5818370976150254
MT-CYB,normal,10.184624001056543,13.840404386874711
LDB1,normal,3.3728064854997086,6.727692336415517
PPP1R14C,skew,1.6599846525320845,1.6599846525320845
CTR9,normal,3.1550462085003614,5.777139902339102
SMOC1,skew,1.0439033388860233,1.0439033388860233
F5,skew,0.3479703732449751,0.3479703732449751
MSRB1,normal,2.922080203836294,6.262515478819632
LRRTM3,skew,0.05758806763083663,0.05758806763083663
ZNF652,normal,1.6781003938913586,4.520983377825265
SMURF1,normal,2.0588756054515214,5.2444933729720695
SLC5A3,normal,0.7958736619301745,5.02211971383886
GPATCH3,normal,2.2354384755824643,4.42247944090554
CDC42BPB,bimodal,1.3341130730895467,1.3341130730895467
PLXNB3,bimodal,1.5805389650681514,1.5805389650681514
OXCT2,skew,0.7196045428583984,0.7196045428583984
RPL10A,normal,8.893142045244096,11.632790443335862
COLGALT2,skew,1.1939494963564374,1.1939494963564374
EPS8L3,skew,0.8321399245661124,0.8321399245661124
EGFL6,skew,0.1337691097063593,0.1337691097063593
MT-ND2,normal,10.513371290162393,14.2013555342259
SYCP1,skew,0.08438054310380161,0.08438054310380161
APCDD1L,skew,0.7996477237594186,0.7996477237594186
RCSD1,skew,1.0191640491008764,1.0191640491008764
RASSF9,skew,0.5106999848183734,0.5106999848183734
FAM169A,bimodal,0.7150883615966732,0.7150883615966732
ZNF830,normal,2.603340628438569,4.906543856895514
GRIN3A,skew,0.1846492755270866,0.1846492755270866
MT-ND5,normal,9.30991622102569,12.674972877683269
MUC2,skew,0.2752493558646489,0.2752493558646489
CNOT7,normal,4.037103188635717,6.913775952613017
TMEM184B,normal,2.9371756892505085,6.7370572746358715
MTOR,normal,3.2574834252103164,5.924050474113906
SCAMP5,normal,-0.38993464802630484,5.858167841384488
ZNF521,skew,1.0298100292439227,1.0298100292439227
ALPK2,skew,1.3083092028857775,1.3083092028857775
BRINP2,skew,0.227323586727498,0.227323586727498
MAGEB3,skew,0.024849782679430853,0.024849782679430853
LRIG2,normal,1.171666670045489,3.3895437079895214
MT-CO1,normal,11.873421186523569,15.36840040411061
PNP,normal,3.8853096616751035,8.155362525099637
PAX9,skew,1.2365730628207026,1.2365730628207026
LRRC10,skew,0.01704965587072302,0.01704965587072302
GK,normal,0.5034388001307,4.608806724381269
FOXJ3,normal,2.907454566707419,5.50796289567485
ZNF358,bimodal,0.8567528584529203,0.8567528584529203
SFT2D1,normal,4.571050831769407,7.281365635957917
CD247,skew,0.5615652166226801,0.5615652166226801
GRM3,skew,0.04035623295176221,0.04035623295176221
CHAMP1,normal,2.4815991341417933,5.571263472417824
INPP5F,normal,1.0237032076221624,5.197310749644482
ARHGAP11A,normal,3.0051255660483034,7.357800630009015
SUCNR1,skew,0.3195975009680517,0.3195975009680517
HMGN2,normal,7.251677833726501,10.807668022543957
SELENOM,weird,,
UBE2J1,normal,2.6404744409837333,6.329755592429671
GJC2,skew,0.5621904721066888,0.5621904721066888
OPA1,normal,3.7788917819280896,6.371923434826293
DENND4B,normal,2.8206093184117096,6.385412025659103
